"title","rental_duration","rental_category"
"California Birds",4,"Moderate"
"Camelot Vacation",3,"Short"
"Campus Remember",5,"Moderate"
"Candidate Perdition",4,"Moderate"
"Candles Grapes",6,"Long"
"Canyon Stock",7,"Long"
"Caper Motions",6,"Long"
"Caribbean Liberty",3,"Short"
"Carol Texas",4,"Moderate"
"Carrie Bunch",7,"Long"
"Casablanca Super",6,"Long"
"Casper Dragonfly",3,"Short"
"Cassidy Wyoming",5,"Moderate"
"Cat Coneheads",5,"Moderate"
"Catch Amistad",7,"Long"
"Cause Date",3,"Short"
"Celebrity Horn",7,"Long"
"Center Dinosaur",5,"Moderate"
"Chainsaw Uptown",6,"Long"
"Champion Flatliners",4,"Moderate"
"Chance Resurrection",3,"Short"
"Clash Freddy",6,"Long"
"Chaplin License",7,"Long"
"Charade Duffel",3,"Short"
"Chariots Conspiracy",5,"Moderate"
"Chasing Fight",7,"Long"
"Cheaper Clyde",6,"Long"
"Chicago North",6,"Long"
"Chicken Hellfighters",3,"Short"
"Chill Luck",6,"Long"
"Chinatown Gladiator",7,"Long"
"Chisum Behavior",5,"Moderate"
"Chitty Lock",6,"Long"
"Chocolat Harry",5,"Moderate"
"Chocolate Duck",3,"Short"
"Christmas Moonshine",7,"Long"
"Cider Desire",7,"Long"
"Cincinatti Whisperer",5,"Moderate"
"Circus Youth",5,"Moderate"
"Citizen Shrek",7,"Long"
"Cleopatra Devil",6,"Long"
"Clerks Angels",3,"Short"
"Clockwork Paradise",7,"Long"
"Clones Pinocchio",6,"Long"
"Closer Bang",5,"Moderate"
"Club Graffiti",4,"Moderate"
"Clue Grail",6,"Long"
"Clueless Bucket",4,"Moderate"
"Clyde Theory",4,"Moderate"
"Coast Rainbow",4,"Moderate"
"Core Suit",3,"Short"
"Coldblooded Darling",7,"Long"
"Color Philadelphia",6,"Long"
"Coma Head",6,"Long"
"Comancheros Enemy",5,"Moderate"
"Comforts Rush",3,"Short"
"Command Darling",5,"Moderate"
"Commandments Express",6,"Long"
"Coneheads Smoochy",7,"Long"
"Confessions Maguire",7,"Long"
"Confidential Interview",6,"Long"
"Confused Candles",3,"Short"
"Congeniality Quest",6,"Long"
"Connecticut Tramp",4,"Moderate"
"Connection Microcosmos",6,"Long"
"Conquerer Nuts",4,"Moderate"
"Conspiracy Spirit",4,"Moderate"
"Contact Anonymous",7,"Long"
"Control Anthem",7,"Long"
"Conversation Downhill",4,"Moderate"
"Cowboy Doom",3,"Short"
"Craft Outfield",6,"Long"
"Cranes Reservoir",5,"Moderate"
"Crazy Home",7,"Long"
"Creatures Shakespeare",3,"Short"
"Creepers Kane",5,"Moderate"
"Crooked Frogmen",6,"Long"
"Crossing Divorce",4,"Moderate"
"Crossroads Casualties",5,"Moderate"
"Crow Grease",6,"Long"
"Crowds Telemark",3,"Short"
"Cruelty Unforgiven",7,"Long"
"Crusade Honey",4,"Moderate"
"Crystal Breaking",6,"Long"
"Cupboard Sinners",4,"Moderate"
"Curtain Videotape",7,"Long"
"Cyclone Family",7,"Long"
"Daddy Pittsburgh",5,"Moderate"
"Daisy Menagerie",5,"Moderate"
"Dalmations Sweden",4,"Moderate"
"Dances None",3,"Short"
"Dancing Fever",6,"Long"
"Dangerous Uptown",7,"Long"
"Dares Pluto",7,"Long"
"Darkness War",6,"Long"
"Darko Dorado",3,"Short"
"Darling Breaking",7,"Long"
"Darn Forrester",7,"Long"
"Daughter Madigan",3,"Short"
"Dawn Pond",4,"Moderate"
"Day Unfaithful",3,"Short"
"Dazed Punk",6,"Long"
"Deceiver Betrayed",7,"Long"
"Deep Crusade",6,"Long"
"Deer Virginian",7,"Long"
"Deliverance Mulholland",4,"Moderate"
"Desert Poseidon",4,"Moderate"
"Desire Alien",7,"Long"
"Desperate Trainspotting",7,"Long"
"Destination Jerk",3,"Short"
"Destiny Saturday",4,"Moderate"
"Details Packer",4,"Moderate"
"Detective Vision",4,"Moderate"
"Devil Desire",6,"Long"
"Diary Panic",7,"Long"
"Dinosaur Secretary",7,"Long"
"Dirty Ace",7,"Long"
"Disciple Mother",3,"Short"
"Disturbing Scarface",6,"Long"
"Divide Monster",6,"Long"
"Divine Resurrection",4,"Moderate"
"Divorce Shining",3,"Short"
"Doctor Grail",4,"Moderate"
"Dogma Family",5,"Moderate"
"Dolls Rage",7,"Long"
"Donnie Alley",4,"Moderate"
"Doom Dancing",4,"Moderate"
"Doors President",3,"Short"
"Dorado Notting",5,"Moderate"
"Double Wrath",4,"Moderate"
"Doubtfire Labyrinth",5,"Moderate"
"Downhill Enough",3,"Short"
"Dozen Lion",6,"Long"
"Dracula Crystal",7,"Long"
"Dragon Squad",4,"Moderate"
"Dragonfly Strangers",6,"Long"
"Dream Pickup",6,"Long"
"Drifter Commandments",5,"Moderate"
"Driver Annie",4,"Moderate"
"Driving Polish",6,"Long"
"Drop Waterfront",6,"Long"
"Drumline Cyclone",3,"Short"
"Drums Dynamite",6,"Long"
"Duck Racer",4,"Moderate"
"Dude Blindness",3,"Short"
"Duffel Apocalypse",5,"Moderate"
"Dumbo Lust",5,"Moderate"
"Durham Panky",6,"Long"
"Dwarfs Alter",6,"Long"
"Dynamite Tarzan",4,"Moderate"
"Eagles Panky",4,"Moderate"
"Early Home",6,"Long"
"Earring Instinct",3,"Short"
"Earth Vision",7,"Long"
"Easy Gladiator",5,"Moderate"
"Edge Kissing",5,"Moderate"
"Effect Gladiator",6,"Long"
"Egg Igby",4,"Moderate"
"Egypt Tenenbaums",3,"Short"
"Element Freddy",6,"Long"
"Elephant Trojan",4,"Moderate"
"Elf Murder",4,"Moderate"
"Elizabeth Shane",7,"Long"
"Empire Malkovich",7,"Long"
"Encino Elf",6,"Long"
"Encounters Curtain",5,"Moderate"
"Ending Crowds",6,"Long"
"Enemy Odds",5,"Moderate"
"English Bulworth",3,"Short"
"Enough Raging",7,"Long"
"Entrapment Satisfaction",5,"Moderate"
"Escape Metropolis",7,"Long"
"Eve Resurrection",5,"Moderate"
"Everyone Craft",4,"Moderate"
"Evolution Alter",5,"Moderate"
"Excitement Eve",3,"Short"
"Exorcist Sting",6,"Long"
"Expecations Natural",5,"Moderate"
"Expendable Stallion",3,"Short"
"Express Lonely",5,"Moderate"
"Extraordinary Conquerer",6,"Long"
"Eyes Driving",4,"Moderate"
"Factory Dragon",4,"Moderate"
"Falcon Volume",5,"Moderate"
"Family Sweet",4,"Moderate"
"Fantasia Park",5,"Moderate"
"Fantasy Troopers",6,"Long"
"Fargo Gandhi",3,"Short"
"Fatal Haunted",6,"Long"
"Feathers Metal",3,"Short"
"Fellowship Autumn",6,"Long"
"Ferris Mother",3,"Short"
"Feud Frogmen",6,"Long"
"Fever Empire",5,"Moderate"
"Fiction Christmas",4,"Moderate"
"Fiddler Lost",4,"Moderate"
"Fidelity Devil",5,"Moderate"
"Fight Jawbreaker",3,"Short"
"Finding Anaconda",4,"Moderate"
"Fire Wolves",5,"Moderate"
"Fireball Philadelphia",4,"Moderate"
"Firehouse Vietnam",7,"Long"
"Fish Opus",4,"Moderate"
"Flamingos Connecticut",4,"Moderate"
"Flash Wars",3,"Short"
"Flatliners Killer",5,"Moderate"
"Flight Lies",7,"Long"
"Flintstones Happiness",3,"Short"
"Floats Garden",6,"Long"
"Flying Hook",6,"Long"
"Fool Mockingbird",3,"Short"
"Forever Candidate",7,"Long"
"Forrest Sons",4,"Moderate"
"Forrester Comancheros",7,"Long"
"Forward Temple",6,"Long"
"Frankenstein Stranger",7,"Long"
"Freaky Pocus",7,"Long"
"Freddy Storm",6,"Long"
"Freedom Cleopatra",5,"Moderate"
"French Holiday",5,"Moderate"
"Frida Slipper",6,"Long"
"Frisco Forrest",6,"Long"
"Frogmen Breaking",5,"Moderate"
"Frontier Cabin",6,"Long"
"Frost Head",5,"Moderate"
"Fugitive Maguire",7,"Long"
"Full Flatliners",6,"Long"
"Fury Murder",3,"Short"
"Gables Metropolis",3,"Short"
"Galaxy Sweethearts",4,"Moderate"
"Games Bowfinger",7,"Long"
"Gandhi Kwai",7,"Long"
"Gangs Pride",4,"Moderate"
"Garden Island",3,"Short"
"Gaslight Crusade",4,"Moderate"
"Gathering Calendar",4,"Moderate"
"Gentlemen Stage",6,"Long"
"Ghost Groundhog",6,"Long"
"Ghostbusters Elf",7,"Long"
"Giant Troopers",5,"Moderate"
"Gilbert Pelican",7,"Long"
"Gilmore Boiled",5,"Moderate"
"Gladiator Westward",6,"Long"
"Glass Dying",4,"Moderate"
"Gleaming Jawbreaker",5,"Moderate"
"Glory Tracy",7,"Long"
"Go Purple",3,"Short"
"Godfather Diary",3,"Short"
"Gold River",4,"Moderate"
"Goldfinger Sensibility",3,"Short"
"Goldmine Tycoon",6,"Long"
"Gone Trouble",7,"Long"
"Goodfellas Salute",4,"Moderate"
"Gorgeous Bingo",4,"Moderate"
"Gosford Donnie",5,"Moderate"
"Graceland Dynamite",5,"Moderate"
"Graduate Lord",7,"Long"
"Graffiti Love",3,"Short"
"Grail Frankenstein",4,"Moderate"
"Grapes Fury",4,"Moderate"
"Grease Youth",7,"Long"
"Greatest North",5,"Moderate"
"Greedy Roots",7,"Long"
"Greek Everyone",7,"Long"
"Grinch Massage",7,"Long"
"Grit Clockwork",3,"Short"
"Groove Fiction",6,"Long"
"Groundhog Uncut",6,"Long"
"Gump Date",3,"Short"
"Gun Bonnie",7,"Long"
"Gunfight Moon",5,"Moderate"
"Gunfighter Mussolini",3,"Short"
"Guys Falcon",4,"Moderate"
"Half Outfield",6,"Long"
"Hall Cassidy",5,"Moderate"
"Halloween Nuts",6,"Long"
"Hamlet Wisdom",7,"Long"
"Identity Lover",4,"Moderate"
"Handicap Boondock",4,"Moderate"
"Hanging Deep",5,"Moderate"
"Hanky October",5,"Moderate"
"Hanover Galaxy",5,"Moderate"
"Happiness United",6,"Long"
"Hardly Robbers",7,"Long"
"Harold French",6,"Long"
"Harper Dying",3,"Short"
"Harry Idaho",5,"Moderate"
"Hate Handicap",4,"Moderate"
"Haunted Antitrust",6,"Long"
"Haunting Pianist",5,"Moderate"
"Hawk Chill",5,"Moderate"
"Head Stranger",4,"Moderate"
"Heartbreakers Bright",3,"Short"
"Heaven Freedom",7,"Long"
"Heavenly Gun",5,"Moderate"
"Heavyweights Beast",6,"Long"
"Hedwig Alter",7,"Long"
"Hellfighters Sierra",3,"Short"
"High Encino",3,"Short"
"Highball Potter",6,"Long"
"Hills Neighbors",5,"Moderate"
"Hobbit Alien",5,"Moderate"
"Hocus Frida",4,"Moderate"
"Holes Brannigan",7,"Long"
"Holiday Games",7,"Long"
"Hollow Jeopardy",7,"Long"
"Hollywood Anonymous",7,"Long"
"Holocaust Highball",6,"Long"
"Holy Tadpole",6,"Long"
"Home Pity",7,"Long"
"Homeward Cider",5,"Moderate"
"Homicide Peach",6,"Long"
"Honey Ties",3,"Short"
"Hook Chariots",7,"Long"
"Idols Snatchers",5,"Moderate"
"Hoosiers Birdcage",3,"Short"
"Hope Tootsie",4,"Moderate"
"Horn Working",4,"Moderate"
"Horror Reign",3,"Short"
"Hotel Happiness",6,"Long"
"Hours Rage",4,"Moderate"
"House Dynamite",7,"Long"
"Human Graffiti",3,"Short"
"Hunchback Impossible",4,"Moderate"
"Hunger Roof",6,"Long"
"Hunter Alter",5,"Moderate"
"Hunting Musketeers",6,"Long"
"Hurricane Affair",6,"Long"
"Hustler Party",3,"Short"
"Hyde Doctor",5,"Moderate"
"Hysterical Grail",5,"Moderate"
"Ice Crossing",5,"Moderate"
"Idaho Love",3,"Short"
"Igby Maker",7,"Long"
"Illusion Amelie",4,"Moderate"
"Image Princess",3,"Short"
"Impact Aladdin",6,"Long"
"Impossible Prejudice",7,"Long"
"Inch Jet",6,"Long"
"Independence Hotel",5,"Moderate"
"Indian Love",4,"Moderate"
"Informer Double",4,"Moderate"
"Innocent Usual",3,"Short"
"Insects Stone",3,"Short"
"Insider Arizona",5,"Moderate"
"Instinct Airport",4,"Moderate"
"Intentions Empire",3,"Short"
"Interview Liaisons",4,"Moderate"
"Intolerable Intentions",6,"Long"
"Intrigue Worst",6,"Long"
"Invasion Cyclone",5,"Moderate"
"Iron Moon",7,"Long"
"Ishtar Rocketeer",4,"Moderate"
"Island Exorcist",7,"Long"
"Italian African",3,"Short"
"Jacket Frisco",5,"Moderate"
"Jade Bunch",6,"Long"
"Japanese Run",6,"Long"
"Jason Trap",5,"Moderate"
"Jawbreaker Brooklyn",5,"Moderate"
"Jaws Harry",4,"Moderate"
"Jedi Beneath",7,"Long"
"Jeepers Wedding",3,"Short"
"Jekyll Frogmen",4,"Moderate"
"Jeopardy Encino",3,"Short"
"Jericho Mulan",3,"Short"
"Jerk Paycheck",3,"Short"
"Jersey Sassy",6,"Long"
"Jet Neighbors",7,"Long"
"Jingle Sagebrush",6,"Long"
"Joon Northwest",3,"Short"
"Juggler Hardly",4,"Moderate"
"Jumanji Blade",4,"Moderate"
"Jumping Wrath",4,"Moderate"
"Jungle Closer",6,"Long"
"Kane Exorcist",5,"Moderate"
"Karate Moon",4,"Moderate"
"Kentuckian Giant",5,"Moderate"
"Kick Savannah",3,"Short"
"Kill Brotherhood",4,"Moderate"
"Killer Innocent",7,"Long"
"King Evolution",3,"Short"
"Kiss Glory",5,"Moderate"
"Kissing Dolls",3,"Short"
"Knock Warlock",4,"Moderate"
"Kramer Chocolate",3,"Short"
"Kwai Homeward",5,"Moderate"
"Labyrinth League",6,"Long"
"Rush Goodfellas",3,"Short"
"Lady Stage",4,"Moderate"
"Ladybugs Armageddon",4,"Moderate"
"Lambs Cincinatti",6,"Long"
"Language Cowboy",5,"Moderate"
"Lawless Vision",6,"Long"
"Lawrence Love",7,"Long"
"League Hellfighters",5,"Moderate"
"Leathernecks Dwarfs",6,"Long"
"Lebowski Soldiers",6,"Long"
"Legally Secretary",7,"Long"
"Legend Jedi",7,"Long"
"Lesson Cleopatra",3,"Short"
"Liaisons Sweet",5,"Moderate"
"Liberty Magnificent",3,"Short"
"License Weekend",7,"Long"
"Lies Treatment",7,"Long"
"Life Twisted",4,"Moderate"
"Lights Deer",7,"Long"
"Mars Roman",6,"Long"
"Lion Uncut",6,"Long"
"Loathing Legally",4,"Moderate"
"Lock Rear",7,"Long"
"Lola Agent",4,"Moderate"
"Lolita World",4,"Moderate"
"Lonely Elephant",3,"Short"
"Lord Arizona",5,"Moderate"
"Lose Inch",3,"Short"
"Loser Hustler",5,"Moderate"
"Lost Bird",4,"Moderate"
"Louisiana Harry",5,"Moderate"
"Love Suicides",6,"Long"
"Lovely Jingle",3,"Short"
"Lover Truman",3,"Short"
"Loverboy Attacks",7,"Long"
"Luck Opus",7,"Long"
"Lucky Flying",7,"Long"
"Luke Mummy",5,"Moderate"
"Mask Peach",6,"Long"
"Lust Lock",3,"Short"
"Madigan Dorado",5,"Moderate"
"Madison Trap",4,"Moderate"
"Madness Attacks",4,"Moderate"
"Madre Gables",7,"Long"
"Magic Mallrats",3,"Short"
"Magnificent Chitty",3,"Short"
"Magnolia Forrester",4,"Moderate"
"Maguire Apache",6,"Long"
"Maiden Home",3,"Short"
"Majestic Floats",5,"Moderate"
"Maker Gables",4,"Moderate"
"Malkovich Pet",6,"Long"
"Mallrats United",4,"Moderate"
"Maltese Hope",6,"Long"
"Manchurian Curtain",5,"Moderate"
"Mannequin Worst",3,"Short"
"Married Go",7,"Long"
"Masked Bubble",6,"Long"
"Massacre Usual",6,"Long"
"Massage Image",4,"Moderate"
"Matrix Snowman",6,"Long"
"Maude Mod",6,"Long"
"Meet Chocolate",3,"Short"
"Memento Zoolander",4,"Moderate"
"Menagerie Rushmore",7,"Long"
"Mermaid Insects",5,"Moderate"
"Metal Armageddon",6,"Long"
"Metropolis Coma",4,"Moderate"
"Microcosmos Paradise",6,"Long"
"Midnight Westward",3,"Short"
"Midsummer Groundhog",3,"Short"
"Mighty Luck",7,"Long"
"Mile Mulan",4,"Moderate"
"Million Ace",4,"Moderate"
"Minds Truman",3,"Short"
"Mine Titans",3,"Short"
"Minority Kiss",4,"Moderate"
"Miracle Virtual",3,"Short"
"Mission Zoolander",3,"Short"
"Mixed Doors",6,"Long"
"Mob Duffel",4,"Moderate"
"Mockingbird Hollywood",4,"Moderate"
"Mod Secretary",6,"Long"
"Model Fish",4,"Moderate"
"Modern Dorado",3,"Short"
"Money Harold",3,"Short"
"Monsoon Cause",6,"Long"
"Monster Spartacus",6,"Long"
"Monterey Labyrinth",6,"Long"
"Montezuma Command",6,"Long"
"Moon Bunch",7,"Long"
"Moonshine Cabin",4,"Moderate"
"Moonwalker Fool",5,"Moderate"
"Mosquito Armageddon",6,"Long"
"Mother Oleander",3,"Short"
"Motions Details",5,"Moderate"
"Moulin Wake",4,"Moderate"
"Mourning Purple",5,"Moderate"
"Movie Shakespeare",6,"Long"
"Mulan Moon",4,"Moderate"
"Mulholland Beast",7,"Long"
"Mummy Creatures",3,"Short"
"Muppet Mile",5,"Moderate"
"Murder Antitrust",6,"Long"
"Muscle Bright",7,"Long"
"Music Boondock",7,"Long"
"Musketeers Wait",7,"Long"
"Mussolini Spoilers",6,"Long"
"Mystic Truman",5,"Moderate"
"Name Detective",5,"Moderate"
"Nash Chocolat",6,"Long"
"National Story",4,"Moderate"
"Natural Stock",4,"Moderate"
"Necklace Outbreak",3,"Short"
"Neighbors Charade",3,"Short"
"Nemo Campus",5,"Moderate"
"Network Peak",5,"Moderate"
"Newsies Story",4,"Moderate"
"Newton Labyrinth",4,"Moderate"
"Nightmare Chill",3,"Short"
"None Spiking",3,"Short"
"Noon Papi",5,"Moderate"
"North Tequila",4,"Moderate"
"Northwest Polish",5,"Moderate"
"Notorious Reunion",7,"Long"
"Notting Speakeasy",7,"Long"
"Novocaine Flight",4,"Moderate"
"Nuts Ties",5,"Moderate"
"October Submarine",6,"Long"
"Odds Boogie",6,"Long"
"Oklahoma Jumanji",7,"Long"
"Oleander Clue",5,"Moderate"
"Open African",7,"Long"
"Operation Operation",7,"Long"
"Opposite Necklace",7,"Long"
"Opus Ice",5,"Moderate"
"Orange Grapes",4,"Moderate"
"Order Betrayed",7,"Long"
"Orient Closer",3,"Short"
"Oscar Gold",7,"Long"
"Others Soup",7,"Long"
"Outbreak Divine",6,"Long"
"Outfield Massacre",4,"Moderate"
"Outlaw Hanky",7,"Long"
"Oz Liaisons",4,"Moderate"
"Pacific Amistad",3,"Short"
"Packer Madigan",3,"Short"
"Pajama Jawbreaker",3,"Short"
"Panic Club",3,"Short"
"Panky Submarine",4,"Moderate"
"Panther Reds",5,"Moderate"
"Papi Necklace",3,"Short"
"Paradise Sabrina",5,"Moderate"
"Paris Weekend",7,"Long"
"Park Citizen",3,"Short"
"Party Knock",7,"Long"
"Past Suicides",5,"Moderate"
"Paths Control",3,"Short"
"Patient Sister",7,"Long"
"Patriot Roman",6,"Long"
"Patton Interview",4,"Moderate"
"Paycheck Wait",4,"Moderate"
"Peach Innocent",3,"Short"
"Peak Forever",7,"Long"
"Pearl Destiny",3,"Short"
"Pelican Comforts",4,"Moderate"
"Perdition Fargo",7,"Long"
"Perfect Groove",7,"Long"
"Personal Ladybugs",3,"Short"
"Pet Haunting",3,"Short"
"Phantom Glory",6,"Long"
"Philadelphia Wife",7,"Long"
"Pianist Outfield",6,"Long"
"Pickup Driving",3,"Short"
"Pilot Hoosiers",6,"Long"
"Pinocchio Simon",4,"Moderate"
"Pirates Roxanne",4,"Moderate"
"Pittsburgh Hunchback",4,"Moderate"
"Pity Bound",5,"Moderate"
"Pizza Jumanji",4,"Moderate"
"Platoon Instinct",6,"Long"
"Pluto Oleander",5,"Moderate"
"Pocus Pulp",6,"Long"
"Polish Brooklyn",6,"Long"
"Pollock Deliverance",5,"Moderate"
"Pond Seattle",7,"Long"
"Poseidon Forever",6,"Long"
"Potluck Mixed",3,"Short"
"Potter Connecticut",5,"Moderate"
"Prejudice Oleander",6,"Long"
"President Bang",6,"Long"
"Pride Alamo",6,"Long"
"Primary Glass",7,"Long"
"Princess Giant",3,"Short"
"Private Drop",7,"Long"
"Prix Undefeated",4,"Moderate"
"Psycho Shrunk",5,"Moderate"
"Pulp Beverly",4,"Moderate"
"Punk Divorce",6,"Long"
"Pure Runner",3,"Short"
"Purple Movie",4,"Moderate"
"Queen Luke",5,"Moderate"
"Quest Mussolini",5,"Moderate"
"Quills Bull",4,"Moderate"
"Racer Egg",7,"Long"
"Rage Games",4,"Moderate"
"Raging Airplane",4,"Moderate"
"Raiders Antitrust",4,"Moderate"
"Rainbow Shock",3,"Short"
"Random Go",6,"Long"
"Range Moonwalker",3,"Short"
"Reap Unfaithful",6,"Long"
"Rear Trading",6,"Long"
"Rebel Airport",7,"Long"
"Records Zorro",7,"Long"
"Redemption Comforts",3,"Short"
"Reds Pocus",7,"Long"
"Reef Salute",5,"Moderate"
"Reign Gentlemen",3,"Short"
"Remember Diary",5,"Moderate"
"Requiem Tycoon",6,"Long"
"Reservoir Adaptation",7,"Long"
"Resurrection Silverado",6,"Long"
"Reunion Witches",3,"Short"
"Rider Caddyshack",5,"Moderate"
"Ridgemont Submarine",3,"Short"
"Right Cranes",7,"Long"
"Rings Heartbreakers",5,"Moderate"
"River Outlaw",4,"Moderate"
"Road Roxanne",4,"Moderate"
"Robbers Joon",7,"Long"
"Robbery Bright",4,"Moderate"
"Rock Instinct",4,"Moderate"
"Rocketeer Mother",3,"Short"
"Rocky War",4,"Moderate"
"Rollercoaster Bringing",5,"Moderate"
"Roman Punk",7,"Long"
"Roof Champion",7,"Long"
"Room Roman",7,"Long"
"Roots Remember",4,"Moderate"
"Roses Treasure",5,"Moderate"
"Rouge Squad",3,"Short"
"Roxanne Rebel",5,"Moderate"
"Rugrats Shakespeare",4,"Moderate"
"Rules Human",6,"Long"
"Run Pacific",3,"Short"
"Runaway Tenenbaums",6,"Long"
"Runner Madigan",6,"Long"
"Rushmore Mermaid",6,"Long"
"Sabrina Midnight",5,"Moderate"
"Saddle Antitrust",7,"Long"
"Sagebrush Clueless",4,"Moderate"
"Saints Bride",5,"Moderate"
"Salute Apollo",4,"Moderate"
"Samurai Lion",5,"Moderate"
"Santa Paris",7,"Long"
"Sassy Packer",6,"Long"
"Satisfaction Confidential",3,"Short"
"Saturday Lambs",3,"Short"
"Saturn Name",7,"Long"
"Savannah Town",5,"Moderate"
"Scalawag Duck",6,"Long"
"Scarface Bang",3,"Short"
"School Jacket",5,"Moderate"
"Scissorhands Slums",5,"Moderate"
"Ship Wonderland",5,"Moderate"
"Scorpion Apollo",3,"Short"
"Sea Virgin",4,"Moderate"
"Seabiscuit Punk",6,"Long"
"Searchers Wait",3,"Short"
"Seattle Expecations",4,"Moderate"
"Secret Groundhog",6,"Long"
"Secretary Rouge",5,"Moderate"
"Secrets Paradise",3,"Short"
"Sense Greek",4,"Moderate"
"Sensibility Rear",7,"Long"
"Seven Swarm",4,"Moderate"
"Shakespeare Saddle",6,"Long"
"Shane Darkness",5,"Moderate"
"Shanghai Tycoon",7,"Long"
"Shawshank Bubble",6,"Long"
"Shepherd Midsummer",7,"Long"
"Shining Roses",4,"Moderate"
"Shock Cabin",7,"Long"
"Shootist Superfly",6,"Long"
"Show Lord",3,"Short"
"Shrek License",7,"Long"
"Shrunk Divine",6,"Long"
"Side Ark",5,"Moderate"
"Siege Madre",7,"Long"
"Sierra Divide",3,"Short"
"Silence Kane",7,"Long"
"Silverado Goldfinger",4,"Moderate"
"Simon North",3,"Short"
"Sinners Atlantis",7,"Long"
"Sister Freddy",5,"Moderate"
"Sky Miracle",7,"Long"
"Slacker Liaisons",7,"Long"
"Sleeping Suspects",7,"Long"
"Sleepless Monsoon",5,"Moderate"
